Date;Close;Open;High;Low;Volume;Variation %
12/03/2021;17.95;17.95;18.4;17.85;1830000;0.00%
11/03/2021;17.95;18;17.95;17.95;1510000;-0.28%
10/03/2021;18;18.25;18;18;2890000;-1.37%
09/03/2021;18.25;16.9;18.25;18;3130000;7.99%
08/03/2021;16.9;16.9;17.8;16.85;790930;0.00%
05/03/2021;16.9;16.5;16.9;16.4;1980000;2.42%
04/03/2021;16.5;17.6;17.45;16.5;12470000;-6.25%
03/03/2021;17.6;17.85;17.8;17.6;2240000;-1.40%
02/03/2021;17.85;17.85;18.5;17.85;4010000;0.00%
01/03/2021;17.85;18;18.15;17.85;5770000;-0.83%
26/02/2021;18;18.1;18;18;4060000;-0.55%
25/02/2021;18.1;18.2;18.1;18;33890000;-0.55%
24/02/2021;18.2;18;18.4;18;8110000;1.11%
23/02/2021;18;18.5;18.05;18;1610000;-2.70%
22/02/2021;18.5;18.5;18.5;18.45;3280000;0.00%
19/02/2021;18.5;18.5;18.5;18.4;4070000;0.00%
18/02/2021;18.5;19.05;19;18.4;37130000;-2.89%
17/02/2021;19.05;19.05;19.25;19;1030000;0.00%
16/02/2021;19.05;19;19.35;19;26820000;0.26%
15/02/2021;19;19.2;19;19;3440000;-1.04%
12/02/2021;19.2;19;19.4;18.6;6390000;1.05%
11/02/2021;19;19.15;19.15;18.55;22480000;-0.78%
10/02/2021;19.15;19.6;19.4;19.05;2160000;-2.30%
09/02/2021;19.6;19.95;19.7;19.6;2030000;-1.75%
08/02/2021;19.95;20;19.95;19.65;1810000;-0.25%
05/02/2021;20;20.85;20.85;19.25;16480000;-4.76%
04/02/2021;21;20.95;21;21;8690000;0.24%
03/02/2021;20.95;21;20.95;20.8;2490000;-0.24%
02/02/2021;21;21.7;21.7;21;4340000;-3.23%
01/02/2021;21.7;21.25;21.8;21.4;4930000;2.12%
29/01/2021;21.25;20.85;21.25;21;7340000;1.92%
28/01/2021;20.85;20.6;21.45;20.6;31680000;1.21%
27/01/2021;20.6;20.1;20.75;20.4;9450000;2.49%
26/01/2021;20.1;20;20.5;20.05;13140000;0.50%
25/01/2021;20;20.2;20.15;20;4820000;-0.99%
22/01/2021;20.2;20.3;20.25;20;6160000;-0.49%
21/01/2021;20.3;20.5;20.5;20.3;2730000;-0.98%
20/01/2021;20.5;20.5;20.8;20.5;8830000;0.00%
19/01/2021;20.5;20.5;20.65;20.45;11160000;0.00%
18/01/2021;20.5;20.8;20.75;20;5590000;-1.44%
15/01/2021;20.8;20.35;20.8;20.45;13740000;2.21%
14/01/2021;20.35;19.65;20.45;19.65;6600000;3.56%
13/01/2021;19.65;19.65;19.65;19.65;2700000;0.00%
12/01/2021;19.65;19.35;19.65;19.5;4190000;1.55%
11/01/2021;19.35;19.15;19.35;19.25;2120000;1.04%
08/01/2021;19.15;19;19.15;18.9;2720000;0.79%
07/01/2021;19;18.3;19;18.45;21470000;3.83%
06/01/2021;18.3;18.3;18.35;18;1130000;0.00%
05/01/2021;18.3;18.5;18.3;17.95;4980000;-1.08%
04/01/2021;18.5;17.6;19.35;17.9;2610000;5.11%
31/12/2020;17.6;17.9;17.85;17.6;2440000;-1.68%
30/12/2020;17.9;17.9;17.95;17.85;7960000;0.00%
29/12/2020;17.9;17.9;18;17.85;4580000;0.00%
24/12/2020;17.9;17.9;17.9;17.9;1390000;0.00%
23/12/2020;17.9;17.9;18.4;17.9;4740000;0.00%
22/12/2020;17.9;17.95;18;17.8;2650000;-0.28%
21/12/2020;17.95;18;18.3;17.95;4020000;-0.28%
18/12/2020;18;17.95;18.3;17.9;12790000;0.28%
17/12/2020;17.95;17.9;18;17.9;6380000;0.28%
16/12/2020;17.9;18;18.5;17.9;14260000;-0.56%
15/12/2020;18;17.85;18.25;17.5;23030000;0.84%
14/12/2020;17.85;17.75;17.85;17.85;876970;0.56%
11/12/2020;17.75;17.6;18.1;17.75;14660000;0.85%
10/12/2020;17.6;18.9;18.5;17.45;5250000;-6.88%
09/12/2020;18.9;18.9;18.95;18.5;10740000;0.00%
08/12/2020;18.9;18.6;18.9;18.7;2370000;1.61%
07/12/2020;18.6;19;18.6;18.6;319920;-2.11%
04/12/2020;19;19.5;19.3;19;2300000;-2.56%
03/12/2020;19.5;19.5;19.7;19.5;2080000;0.00%
02/12/2020;19.5;19.75;19.75;19.5;31440000;-1.27%
01/12/2020;19.75;19.7;19.75;19.5;6460000;0.25%
30/11/2020;19.7;20;19.7;19.35;2130000;-1.50%
27/11/2020;20;20;20;20;2290000;0.00%
26/11/2020;20;20.65;21;20;6510000;-3.15%
25/11/2020;20.65;19.5;21.45;19.95;11270000;5.90%
24/11/2020;19.5;19.2;19.5;19;10300000;1.56%
23/11/2020;19.2;20.5;19.65;18.45;16270000;-6.34%
20/11/2020;20.5;21.2;20.5;20.3;4980000;-3.30%
19/11/2020;21.2;22.25;22.4;21;7220000;-4.72%
18/11/2020;22.25;21;22.45;21.85;5930000;5.95%
17/11/2020;21;20;21;19;7910000;5.00%
16/11/2020;20;22.2;21;20;7430000;-9.91%
13/11/2020;22.2;21.35;23.45;19.25;34440000;3.98%
12/11/2020;21.35;19.45;21.35;19.8;15560000;9.77%
11/11/2020;19.45;19.4;20;19.15;20940000;0.26%
10/11/2020;19.4;18.1;19.4;18.2;23940000;7.18%
09/11/2020;18.1;16.5;18.15;16.95;22470000;9.70%
06/11/2020;16.5;15.55;16.5;15.5;18940000;6.11%
05/11/2020;15.55;15.5;15.6;15.5;7040000;0.32%
04/11/2020;15.5;15.4;15.55;15.35;6580000;0.65%
